{'timestamp': Timestamp('2024-05-29 19:48:13.488000'), 'Close': 67368.85, 'ma1': 67363.70916666667, 'ma2': 67373.83769230769, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -10.128525641019223}
{'timestamp': Timestamp('2024-05-29 19:48:15.681000'), 'Close': 67368.85, 'ma1': 67363.70833333333, 'ma2': 67373.00846153845, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -9.300128205126384}
{'timestamp': Timestamp('2024-05-29 19:48:18.044000'), 'Close': 67368.86, 'ma1': 67363.70833333333, 'ma2': 67372.17961538461, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -8.471282051279559}
{'timestamp': Timestamp('2024-05-29 19:48:20.192000'), 'Close': 67360.71, 'ma1': 67363.02833333334, 'ma2': 67371.03730769231, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -8.008974358977866}
{'timestamp': Timestamp('2024-05-29 19:48:22.215000'), 'Close': 67347.13, 'ma1': 67361.2175, 'ma2': 67369.61923076923, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -8.40173076922656}
{'timestamp': Timestamp('2024-05-29 19:48:24.382000'), 'Close': 67347.12, 'ma1': 67359.40583333334, 'ma2': 67368.35423076923, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -8.948397435888182}
{'timestamp': Timestamp('2024-05-29 19:48:26.543000'), 'Close': 67347.13, 'ma1': 67358.23166666667, 'ma2': 67367.08961538461, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -8.857948717937688}
{'timestamp': Timestamp('2024-05-29 19:48:28.546000'), 'Close': 67344.58, 'ma1': 67357.44583333333, 'ma2': 67365.72730769232, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -8.28147435898427}
{'timestamp': Timestamp('2024-05-29 19:48:30.964000'), 'Close': 67344.58, 'ma1': 67356.66, 'ma2': 67364.365, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -7.705000000001746}
{'timestamp': Timestamp('2024-05-29 19:48:33.969000'), 'Close': 67344.57, 'ma1': 67355.87416666666, 'ma2': 67363.00230769231, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -7.128141025648802}
