open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-23 02:00:00,0.7428,0.7467,0.7365,0.7377,7528836.0,2024-04-23 02:59:59.999,5586840.92810,16208,3270828,2429371.90540,0
2024-04-23 03:00:00,0.7378,0.7406,0.7317,0.7328,11635320.0,2024-04-23 03:59:59.999,8553405.11310,19304,5499176,4042188.59560,0
2024-04-23 04:00:00,0.7327,0.7359,0.7272,0.7309,12551807.0,2024-04-23 04:59:59.999,9181490.73490,19085,6144212,4495539.88110,0
2024-04-23 05:00:00,0.7308,0.7371,0.7304,0.7367,10321073.0,2024-04-23 05:59:59.999,7575636.77080,18781,5351443,3928138.73100,0
2024-04-23 06:00:00,0.7366,0.7379,0.727,0.7305,10444114.0,2024-04-23 06:59:59.999,7660309.10020,20599,5014107,3678243.31900,0
2024-04-23 07:00:00,0.7304,0.7323,0.7219,0.7258,15367351.0,2024-04-23 07:59:59.999,11161518.64390,23995,7326587,5319966.75800,0
2024-04-23 08:00:00,0.7257,0.7295,0.7226,0.7284,10646572.0,2024-04-23 08:59:59.999,7729661.73490,18182,5248990,3811321.04850,0
2024-04-23 09:00:00,0.7284,0.73,0.724,0.7262,6277032.0,2024-04-23 09:59:59.999,4561741.48370,13697,3093038,2247891.83240,0
2024-04-23 10:00:00,0.7261,0.7324,0.726,0.7294,7779078.0,2024-04-23 10:59:59.999,5678403.73170,17190,3788431,2764973.11130,0
2024-04-23 11:00:00,0.7294,0.7299,0.7234,0.7266,7503263.0,2024-04-23 11:59:59.999,5450881.45620,17281,3430445,2491667.02390,0
2024-04-23 12:00:00,0.7266,0.7301,0.7245,0.7292,8556541.0,2024-04-23 12:59:59.999,6226347.90330,19089,4067939,2960565.89380,0
2024-04-23 13:00:00,0.7293,0.7347,0.7244,0.7342,11839500.0,2024-04-23 13:59:59.999,8639808.96550,24942,5372202,3921418.84350,0
2024-04-23 14:00:00,0.7343,0.7423,0.7326,0.7382,20078849.0,2024-04-23 14:59:59.999,14826070.72840,34640,9873586,7290657.12880,0
2024-04-23 15:00:00,0.7382,0.7388,0.732,0.7336,11172604.0,2024-04-23 15:59:59.999,8214121.02020,21824,5568827,4094329.05160,0
2024-04-23 16:00:00,0.7337,0.7375,0.7309,0.7334,9046898.0,2024-04-23 16:59:59.999,6648242.79680,18908,4713913,3464564.92090,0
2024-04-23 17:00:00,0.7333,0.7399,0.7312,0.7368,7943556.0,2024-04-23 17:59:59.999,5844942.88990,17071,4303425,3166964.37020,0
2024-04-23 18:00:00,0.7368,0.7375,0.7305,0.7346,7780247.0,2024-04-23 18:59:59.999,5712679.14700,18387,3765405,2765085.93210,0
2024-04-23 19:00:00,0.7347,0.7352,0.7305,0.7338,6155924.0,2024-04-23 19:59:59.999,4511879.79230,14795,3113008,2281816.48720,0
2024-04-23 20:00:00,0.7338,0.7353,0.7263,0.7343,11949081.0,2024-04-23 20:59:59.999,8745427.41780,22085,5932966,4343605.97760,0
2024-04-23 21:00:00,0.7343,0.7343,0.7279,0.729,6970722.0,2024-04-23 21:59:59.999,5090916.68240,13298,3277857,2393783.54830,0
2024-04-23 22:00:00,0.729,0.7314,0.7254,0.7268,6169196.0,2024-04-23 22:59:59.999,4496874.25860,16007,3001782,2188402.31880,0
2024-04-23 23:00:00,0.7268,0.7289,0.7224,0.7288,6968145.0,2024-04-23 23:59:59.999,5057307.20790,22186,3560857,2584424.49750,0
2024-04-24 00:00:00,0.7289,0.7379,0.7263,0.7367,15052359.0,2024-04-24 00:59:59.999,11025509.81600,30943,8192574,6001848.81460,0
2024-04-24 01:00:00,0.7368,0.7415,0.7363,0.7402,14533660.0,2024-04-24 01:59:59.999,10742990.08300,25084,7527326,5563777.65140,0
2024-04-24 02:00:00,0.7403,0.7415,0.7332,0.7388,10950591.0,2024-04-24 02:59:59.999,8085279.04120,19935,4934886,3645002.02220,0
2024-04-24 03:00:00,0.7388,0.7484,0.7378,0.7429,14934658.0,2024-04-24 03:59:59.999,11109333.96150,25479,8236187,6127218.60940,0
2024-04-24 04:00:00,0.743,0.7644,0.7409,0.7624,20920928.0,2024-04-24 04:59:59.999,15755500.64220,34584,12143029,9148300.93340,0
2024-04-24 05:00:00,0.7624,0.7632,0.751,0.7535,17237963.0,2024-04-24 05:59:59.999,13030295.16320,29529,7960327,6015996.89140,0
2024-04-24 06:00:00,0.7535,0.7543,0.7458,0.7516,12948222.0,2024-04-24 06:59:59.999,9715468.15860,21764,5932991,4452696.40670,0
2024-04-24 07:00:00,0.7516,0.7535,0.7487,0.7495,6890772.0,2024-04-24 07:59:59.999,5178508.29580,16547,3165168,2378561.30230,0
2024-04-24 08:00:00,0.7495,0.7547,0.7492,0.7523,8195117.0,2024-04-24 08:59:59.999,6159911.88670,18355,4352706,3272017.47190,0
2024-04-24 09:00:00,0.7522,0.757,0.7467,0.7557,10759020.0,2024-04-24 09:59:59.999,8079751.87060,20421,5342536,4013247.15750,0
2024-04-24 10:00:00,0.7557,0.7583,0.7522,0.7575,11165808.0,2024-04-24 10:59:59.999,8428916.85460,22095,5515983,4164833.65870,0
2024-04-24 11:00:00,0.7574,0.7595,0.7541,0.7566,8906155.0,2024-04-24 11:59:59.999,6741806.65580,18023,4003738,3030725.18100,0
2024-04-24 12:00:00,0.7566,0.7586,0.7525,0.7539,11414104.0,2024-04-24 12:59:59.999,8618976.11240,19735,5714894,4315156.89390,0
2024-04-24 13:00:00,0.7539,0.7541,0.738,0.7389,29004849.0,2024-04-24 13:59:59.999,21620346.49220,41105,12610108,9395364.31050,0
2024-04-24 14:00:00,0.7389,0.7436,0.7172,0.727,60794327.0,2024-04-24 14:59:59.999,44219307.90700,73767,28684800,20874022.47270,0
2024-04-24 15:00:00,0.727,0.7277,0.7116,0.7141,29113951.0,2024-04-24 15:59:59.999,20941164.42210,41193,13393722,9634854.67830,0
