open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,sma_50,ema_50,rsi,macd,macd_signal,macd_hist,doji,hammer,close_lag_1
2024-04-20 19:00:00,0.7749323174699074,0.950377735024876,0.8368946202327774,0.9585113604891491,0.18241902952472272,2024-04-20 19:59:59.999,11616140.4608,28207,8388370,6148498.3209,0,-1.6227317682497115,-1.471685913747342,2.456179881943696,2.1200470489722454,1.2911826601080711,2.771844188625839,0,0,0.7789218291238298
2024-04-20 20:00:00,0.9584260635286684,0.9893826327095165,1.034275426891454,1.0578587608188967,-0.1294569209799601,2024-04-20 20:59:59.999,9401077.8429,22017,6264870,4613414.8599,0,-1.5561088172788944,-1.358727159615333,2.5184387460679822,2.3664732402231974,1.5456408692865884,2.8089772877581485,0,0,0.9585113604891491
2024-04-20 21:00:00,1.0578185093104944,1.0361885099310844,1.108758750158878,1.0731429762542455,-0.6693778455797106,2024-04-20 21:59:59.999,5477684.1317,16203,4051460,2987680.013,0,-1.4933466316689485,-1.249330293609342,2.5283218551097715,2.5370325819141746,1.7863132848022223,2.658378901329315,100,0,1.0578587608188967
2024-04-20 22:00:00,1.0731096548153936,1.028387530394157,1.0231029284013375,0.954690306630313,-0.02894283808984244,2024-04-20 22:59:59.999,10121885.5188,22586,6693397,4924854.3888,0,-1.4342472234526333,-1.1509494695494011,2.2028719815735873,2.59903922820632,1.992341004289487,2.2799142697109596,0,0,1.0731429762542455
2024-04-20 23:00:00,0.9546032771524446,1.0322880201626208,1.1050345839955074,1.08842719168959,-0.5123674239277336,2024-04-20 23:59:59.999,6617543.3369,17207,4542334,3347263.1856,0,-1.374454857351037,-1.0488328813138992,2.3103903282515397,2.6642383964516627,2.1713475125222397,1.9847298999319154,0,0,0.954690306630313
2024-04-21 00:00:00,1.0884008003202885,1.0166860610887662,0.8033771247624362,0.8133113138533592,0.5618031644346078,2024-04-21 00:59:59.999,14383235.6316,29452,9682675,7106193.7681,0,-1.3221860340039482,-0.966342470049698,1.594063408536199,2.586992957916092,2.297747673510078,1.4100490941159094,0,0,1.08842719168959
2024-04-21 01:00:00,0.8131601812321492,1.0322880201626208,0.9672404359507716,1.0387534915247163,-0.363813872333173,2024-04-21 01:59:59.999,7694403.757,21185,5747959,4233003.2299,0,-1.2616017160334556,-0.8742859395390868,1.8181731423929448,2.575573336052813,2.396383419147548,1.1067458346769536,0,0,0.8133113138533592
2024-04-21 02:00:00,1.0387045774293755,1.2039095699750417,1.1497245779559608,1.2221640767488673,-0.007779369797167124,2024-04-21 02:59:59.999,10333706.806,24851,7030641,5201236.8105,0,-1.186069306537568,-0.7754250657927453,1.9848399930309968,2.6010321925411906,2.4808306889084024,0.9517484783291931,0,0,1.0387534915247163
2024-04-21 03:00:00,1.2260211098643603,1.219511529048896,1.0938620855053907,0.9814376836421658,-0.2512169135715158,2024-04-21 03:59:59.999,8543961.0616,21133,5470990,4043858.9905,0,-1.0883622447126056,-0.6941099933292443,1.4101834824909738,2.5055006932559083,2.5276052554792696,0.5402053744961757,0,0,1.2221640767488673
2024-04-21 04:00:00,0.9851855681622347,0.9308752861825579,0.9709646021141424,1.0196482222305314,-0.45432401902401187,2024-04-21 04:59:59.999,7008113.2136,16676,4905842,3598887.5069,0,-0.9896652430515286,-0.6138140798919108,1.452471386091041,2.414646248679055,2.545259170941298,0.2220863618378272,0,0,0.9814376836421658
